rank,2019-12-13,0未开始|1左方胜|2右方胜,top16,2019-12-20,0未开始|1左方胜|2右方胜,top8,2019-12-27,0未开始|1左方胜|2右方胜,top4,2020-1-3,0未开始|1左方胜|2右方胜,top2,2020-1-10,0未开始|1左方胜|2右方胜,top,2020-1-17,0未开始|1左方胜|2右方胜
27,51,1,39,27,0,0,0,0,0,0,0,0,0,0,0,0,0
29,45,2,50,56,0,0,0,0,0,0,0,0,0,0,,,
56,67,1,47,17,0,0,0,0,0,0,0,,,,,,
30,53,1,43,45,0,0,0,0,0,0,0,,,,,,
2,77,1,65,60,0,0,0,0,,,,,,,,,
36,39,2,63,23,0,0,0,0,,,,,,,,,
22,64,1,33,44,0,0,0,0,,,,,,,,,
17,69,2,37,34,0,0,0,0,,,,,,,,,
20,58,1,30,2,0,,,,,,,,,,,,
31,49,1,1,31,0,,,,,,,,,,,,
23,73,1,57,20,0,,,,,,,,,,,,
60,66,1,14,59,0,,,,,,,,,,,,
1,59,1,41,35,0,,,,,,,,,,,,
54,52,1,38,54,0,,,,,,,,,,,,
50,76,1,13,69,0,,,,,,,,,,,,
38,46,1,61,22,0,,,,,,,,,,,,
41,55,1,,,,,,,,,,,,,,,
14,42,1,,,,,,,,,,,,,,,
57,72,1,,,,,,,,,,,,,,,
63,74,1,,,,,,,,,,,,,,,
34,71,1,,,,,,,,,,,,,,,
65,70,1,,,,,,,,,,,,,,,
33,48,1,,,,,,,,,,,,,,,
44,75,1,,,,,,,,,,,,,,,
37,32,1,,,,,,,,,,,,,,,
43,68,1,,,,,,,,,,,,,,,
35,40,1,,,,,,,,,,,,,,,
13,61,1,,,,,,,,,,,,,,,
62,47,2,,,,,,,,,,,,,,,
